Sampling Period,Town,Survey No,Date,Start Temp,Finish Temp,Mean temperature,Weather,Rain,Marketday,Start time,Finish time,Took place between 06:30 and 09:30,Survey length (minutes)
One (April 2018),Study area one,Survey 1,11/04/2018,11,11,11,Light,Yes,No,07:00,07:57,Y,57
One (April 2018),Study area one,Survey 2,12/04/2018,13,13,13,None,No,No,07:00,08:01,Y,61
One (April 2018),Study area one,Survey 3,13/04/2018,11,12,11.5,None,No,No,06:53,08:30,Y,97
One (April 2018),Study area two,Survey 1,14/04/2018,11,12,11.5,None,No,No,06:55,08:16,Y,81
One (April 2018),Study area two,Survey 2,15/04/2018,13,13,13,None,No,No,06:55,08:16,Y,81
One (April 2018),Study area two,Survey 3,16/04/2018,14,14,14,None,No,No,07:00,08:09,Y,69
One (April 2018),Study area three,Survey 1,17/04/2018,12,13,12.5,None,No,No,06:52,08:26,Y,94
One (April 2018),Study area three,Survey 2,18/04/2018,14,14,14,None,No,No,06:58,08:42,Y,105
One (April 2018),Study area three,Survey 3,19/04/2018,13,16,14.5,None,No,No,06:52,09:00,Y,128
One (April 2018),Study area four,Survey 1,20/04/2018,14,17,15.5,None,No,No,06:55,08:41,Y,106
One (April 2018),Study area four,Survey 2,21/04/2018,14,14,14,None,No,No,06:49,08:23,Y,94
One (April 2018),Study area four,Survey 3,22/04/2018,12,14,13,None,No,No,06:50,08:16,Y,86
Two (July 2018),Study area one,Survey 1,06/07/2018,22,23,22.5,None,No,No,06:55,08:03,Y,68
Two (July 2018),Study area one,Survey 2,07/07/2018,20,22,21,None,No,No,07:00,08:20,Y,80
Two (July 2018),Study area one,Survey 3,08/07/2018,20,22,21,None,No,No,06:55,08:10,Y,75
Two (July 2018),Study area two,Survey 1,09/07/2018,21,24,22.5,None,No,No,07:03,08:10,Y,67
Two (July 2018),Study area two,Survey 2,10/07/2018,19,22,20.5,None,No,No,06:55,08:12,Y,77
Two (July 2018),Study area two,Survey 3,11/07/2018,24,24,24,None,No,No,07:00,08:00,Y,60
Two (July 2018),Study area three,Survey 1,12/07/2018,20,23,21.5,None,No,No,07:09,08:57,Y,108
Two (July 2018),Study area three,Survey 2,13/07/2018,22,24,23,None,No,No,07:00,08:34,Y,94
Two (July 2018),Study area three,Survey 3,14/07/2018,21,24,22.5,None,No,Yes,07:06,08:36,Y,90
Two (July 2018),Study area four,Survey 1,15/07/2018,23,26,24.5,None,No,No,07:05,08:39,Y,94
Two (July 2018),Study area four,Survey 2,16/07/2018,23,26,24.5,None,No,No,07:05,08:33,Y,88
Two (July 2018),Study area four,Survey 3,17/07/2018,19,19,19,Drizzling,Yes,No,07:01,08:20,Y,79
Three (October 2018),Study area one,Survey 1,02/10/2018,12,13,12.5,None,No,No,07:00,08:00,Y,60
Three (October 2018),Study area one,Survey 2,03/10/2018,12,13,12.5,None,No,No,07:00,08:00,Y,60
Three (October 2018),Study area one,Survey 3,04/10/2018,13,14,13.5,None,No,No,06:55,08:02,Y,67
Three (October 2018),Study area two,Survey 1,05/10/2018,16,15,15.5,Rain,Yes,Yes,07:06,08:09,Y,63
Three (October 2018),Study area two,Survey 2,06/10/2018,14,16,15,Drizzling,Yes,No,07:01,08:17,Y,76
Three (October 2018),Study area two,Survey 3,07/10/2018,14,16,15,Fog,No,No,06:58,08:10,Y,72
Three (October 2018),Study area three,Survey 1,08/10/2018,13,14.5,13.75,None,No,No,07:00,08:32,Y,92
Three (October 2018),Study area three,Survey 2,09/10/2018,14,15,14.5,None,No,No,07:02,08:34,Y,92
Three (October 2018),Study area three,Survey 3,10/10/2018,14,15,14.5,None,No,No,07:15,08:45,Y,90
Three (October 2018),Study area four,Survey 1,11/10/2018,14,16,15,None,No,No,07:15,08:45,Y,90
Three (October 2018),Study area four,Survey 2,12/10/2018,17,17,17,None,No,No,06:56,08:22,Y,86
Three (October 2018),Study area four,Survey 3,13/10/2018,13,14,13.5,None,No,No,07:21,08:43,Y,82
Four (April 2019),Study area one,Survey 1,07/04/2019,8,9,8.5,Rain,Yes,No,07:00,07:51,Y,51
Four (April 2019),Study area one,Survey 2,08/04/2019,10,9,9.5,None,No,No,07:08,08:04,Y,56
Four (April 2019),Study area one,Survey 3,09/04/2019,12,12,12,None,No,No,06:55,07:44,Y,49
Four (April 2019),Study area two,Survey 1,10/04/2019,9,10,9.5,None,No,No,07:00,08:03,Y,63
Four (April 2019),Study area two,Survey 2,11/04/2019,7,9,8,None,No,No,07:09,08:07,Y,58
Four (April 2019),Study area two,Survey 3,12/04/2019,7,9,8,None,No,No,07:00,07:49,Y,49
Four (April 2019),Study area three,Survey 1,13/04/2019,7,7,7,None,No,Yes,07:00,08:23,Y,83
Four (April 2019),Study area three,Survey 2,14/04/2019,7,8,7.5,None,No,No,07:00,08:23,Y,83
Four (April 2019),Study area three,Survey 3,15/04/2019,7,7,7,Raining,Yes,No,07:00,08:22,Y,82
Four (April 2019),Study area four,Survey 1,16/04/2019,9,10,9.5,None,No,No,07:00,08:20,Y,80
Four (April 2019),Study area four,Survey 2,17/04/2019,9,12,10.5,None,No,Yes,07:00,08:23,Y,83
Four (April 2019),Study area four,Survey 3,18/04/2019,11,12,11.5,None,No,No,07:00,08:44,Y,104
Five (July 2019),Study area one,Survey 1,09/07/2019,25,26,25.5,None,No,No,07:05,08:04,Y,59
Five (July 2019),Study area one,Survey 2,10/07/2019,23,23,23,None,No,No,07:00,07:52,Y,52
Five (July 2019),Study area one,Survey 3,11/07/2019,19,21,20,None,No,Yes,07:00,07:50,Y,50
Five (July 2019),Study area two,Survey 1,12/07/2019,19,22,20.5,None,No,Yes,06:57,08:06,Y,69
Five (July 2019),Study area two,Survey 2,13/07/2019,20,22,21,None,No,No,07:03,08:00,Y,57
Five (July 2019),Study area two,Survey 3,14/07/2019,18,19,18.5,None,No,No,07:05,08:02,Y,57
Five (July 2019),Study area three,Survey 1,15/07/2019,17,19,18,None,No,No,07:14,08:33,Y,79
Five (July 2019),Study area three,Survey 2,16/07/2019,17,18,17.5,None,No,No,07:00,08:16,Y,76
Five (July 2019),Study area three,Survey 3,17/07/2019,17,19,18,None,No,No,07:01,08:26,Y,85
Five (July 2019),Study area four,Survey 1,18/07/2019,18,22,20,None,No,No,07:00,08:20,Y,80
Five (July 2019),Study area four,Survey 2,19/07/2019,19,21,20,None,No,No,07:00,08:17,Y,77
Five (July 2019),Study area four,Survey 3,20/07/2019,19,22,20.5,None,No,No,06:00,07:18,N,78
