Study Area,ID,Distinctiveness,Sex,P1S1,P1S2,P1S3,NeuterP1,P2S1,P2S2,P2S3,NeuterP2,P3S1,P3S2,P3S3,NeuterP3,P4S1,P4S2,P4S3,NeuterP4,P5S1,P5S2,P5S3,NeuterP5
ITSA1,IT001,1,Male,1,1,0,NA,0,0,0,NA,0,1,0,NA,0,1,0,NA,0,1,1,NA
ITSA1,IT002,2,Male,1,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT003,1,Male,1,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT004,2,Male,1,0,1,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA
ITSA1,IT005,2,Unknown,1,0,1,NA,0,0,1,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA
ITSA1,IT006,2,Unknown,1,1,1,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT007,2,Female,1,1,0,NA,0,1,1,NA,1,1,0,NA,0,1,0,NA,0,0,0,NA
ITSA1,IT008,2,Female,1,0,0,NA,0,1,1,NA,1,1,0,NA,1,1,0,NA,1,0,1,NA
ITSA1,IT009,1,Male,0,1,0,NA,0,1,0,NA,0,0,1,NA,0,0,0,NA,1,0,0,NA
ITSA1,IT010,1,Female,0,1,0,NA,0,0,0,NA,0,0,1,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT011,2,Male,0,0,1,NA,1,1,0,NA,1,1,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT012,2,Male,0,0,1,NA,0,0,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT031,2,Unknown,0,0,0,NA,1,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT032,2,Male,0,0,0,NA,1,1,0,NA,0,0,1,NA,0,0,0,NA,1,0,0,NA
ITSA1,IT033,2,Male,0,0,0,NA,1,0,1,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA
ITSA1,IT039,2,Female,0,0,0,NA,0,0,0,NA,1,1,1,NA,0,0,0,NA,0,0,0,NA
ITSA1,IT049,2,Male,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,0,NA
ITSA2,IT013,1,Male,1,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT014,3,Unknown,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT015,2,Unknown,0,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT016,No photo,Unknown,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT017,2,Male,0,1,1,NA,0,1,0,NA,0,1,1,NA,1,0,1,NA,1,0,1,NA
ITSA2,IT018,2,Female,0,0,1,NA,0,0,0,NA,0,0,1,NA,1,1,0,NA,1,0,0,NA
ITSA2,IT034,2,Female,0,0,0,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT035,1,Male,0,0,0,NA,0,0,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT038,3,Female,0,0,0,NA,0,1,0,NA,0,1,1,NA,1,0,1,NA,1,0,1,NA
ITSA2,IT040,2,Female,0,0,0,NA,0,0,0,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA
ITSA2,IT041,1,Male,0,0,0,NA,0,0,0,NA,0,1,1,NA,1,0,0,NA,1,0,1,NA
